Title,Price,Available Stroage,Available Colours,Ratings,Date
"APPLE iPhone 11 (Red, 64 GB)","39,999","['64 GB', '128 GB']","['Black', 'Green', 'Purple', 'Red', 'White', 'Yellow']",4.6,2022-11-18
"APPLE iPhone 11 (Red, 64 GB)","39,999","['64 GB', '128 GB']","['Black', 'Green', 'Purple', 'Red', 'White', 'Yellow']",4.6,2022-11-18
"APPLE iPhone 11 (Red, 64 GB)","39,999","['64 GB', '128 GB']","['Black', 'Green', 'Purple', 'Red', 'White', 'Yellow']",4.6,2022-11-18
"APPLE iPhone 11 (Red, 64 GB)","39,999","['64 GB', '128 GB']","['Black', 'Green', 'Purple', 'Red', 'White', 'Yellow']",4.6,2022-11-18
